descripcion,habitaciones,banios,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,piso,administeracion,precio_m2,barrio
"Venta de hermoso apartamento en Calasanz 76, 42 metros cuadrados, 3 habitaciones, 2 baños, parqueadero, cuarto útil. Se entrega en obra blanca, para hacer closets, cabina del baño social, mueble superior cocina, mueble inferior barra, mueble linos, mueble alacena, horno y campana. Administración 459mil pesos Predial 1900 mil pesos anuales Valor del inmueble 470 millones de pesos Unidad con piscina para adultos y niños, salón social, área de bbq, área de juegos de niños, área para mascotas. .",3,2,1,70 m²,70 m²,3,Bueno,9 a 15 años,8,$ 364.000 COP,"$ 4.285.714,29*m²",Calasanz - Medellín - Antioquia
.,3,2,,118 m²,118 m²,5,,,,No definida,"$ 6.101.694,92*m²",SurOriente - Medellín - Antioquia
"Acogedor Apartamento ubicado en los colores, zona residencial, cerca de la cuarta brigada , centro comercial el diamante , estadio Atanasio Girardot , colegios, parques e iglesias, en unidad cerrada con áreas comunes como piscina, salón social, parqueadero para visitantes, sendero ecológico. Admon $177.000 Predial trimestral $ .",2,3,2,85 m²,85 m²,6,Excelente,1 a 8 años,Otro,$ 363.800 COP,"$ 7.058.823,53*m²",Los Colores - Medellín - Antioquia
"Hermoso Apartamento en urbanización completa en Envigado cuenta con 70, 25 mts2 distribuidos en 3 habitaciones, 2 baños, sala, balcón, cocina, área de lavado. Antigüedad de la construcción: 10 años Estrato: 4, un puesto de parqueadero y cuarto útil Unidad completa: Áreas comunes: Piscina, Gimnasio, Turco, Portería 24 horas, Juegos infantiles, Salón Social Predial semestral: $540.000 aprox. .",2,2,1,55 m²,55 m²,4,,,14,$ 240.000 COP,"$ 6.181.818,18*m²",Envigado - Medellín - Antioquia
"VENTA APARTAMENTO MODERNO. Piso 13 con una excelente vista, buena iluminación y distribución de espacios, 2 habitaciones, 2 baños, estudio, cocina integrada al área social, parqueadero cubierto y cuarto útil. Unidad completa con vigilancia 24 horas, parqueadero de visitantes, piscina, zonas verdes, juegos infantiles, cancha deportiva y casa de muñecas. UNA EXCELENTE OPCIÓN DE INVERSION, CONTACTANOS!!! .",3,2,1,64 m²,64 m²,4,,9 a 15 años,,$ 199.737 COP,$ 4.218.750*m²,Loma de los Bernal - Medellín - Antioquia
"Se vende espectacular apartamento en la ciudad de Medellín consta de 4 habitaciones (2 con closet) 1 Vestier, baño privado, cocina integral, zona de ropas, altillo. El conjunto cuenta con zonas verdes parque infantil, salón social y huerta comunitaria, vigilancia privada las 24 horas. Gran oportunidad de inversión en las mejores zonas..",2,2,,50 m²,50 m²,3,Excelente,menor a 1 año,1,No definida,$ 5.200.000*m²,CONJUNTO ARBOLEDA - Medellín - Antioquia
"Código.6186273-IM- Venta de lindo y confortable Apartamento en el Municipio de Itagüí, sector San Gabriel. En su distribución encontrarás; 1 habitación principal con baño privado cabinado-enchapado y closet, 2 habitaciones auxiliares cada una con closet, 1 baño social cabinado-enchapado, sala-comedor, balcón con vista panorámica, cocina integral con campana extractora, estufa de gas, horno, calentador, citófono, zona de ropas. Apartamento con excelentes acabados, buena iluminación, sin parqueadero, ni cuarto útil. Unidad cerrada en zona residencial, comercial, campestre y zonas verdes con Ascensor, Parqueadero de visitantes, Circuito cerrado de TV, Portería / Recepción, Salón comunal. Ubicación cerca a la Glorieta Pilsen, Barrio Las Margaritas, Pilsen, Ditaires, Tiendas, Colegios, Estadio, Fácil acceso al Transporte Público. .",5,3,2,130 m²,130 m²,5,,9 a 15 años,5,$ 290.000 COP,"$ 3.307.692,31*m²",SAN GABRIEL - Itaguí - Antioquia
"Se vende apartamento en excelente sector de Simón Bolívar, cuenta con un área de 128m2, distribuidos en 3 habitaciones con closet , 2 baños, cocina integral, sala, comedor, zona de ropas, calentador a gas y parqueadero. Cuenta con excelente ubicación, ventilación y distribución..",2,1,,37 m²,37 m²,3,Bueno,1 a 8 años,7,$ 61.000 COP,"$ 3.702.702,7*m²",Simón Bolivar - Medellín - Antioquia
"Acogedor apartamento en venta ubicado en el sector de El Tesoro, con un área aproximada de 97m², con amplios y cómodos espacios, buena distribución e iluminación cuarto útil y portería 24 horas, con buen acceso a rutas de transporte y cerca al Centro Comercial el Tesoro..",2,1,,54 m²,0 m²,3,Remodelado,16 a 30 años,1,No definida,"$ 2.592.592,59*m²",El Tesoro - Medellín - Antioquia
"Hermoso Apto de dos Niveles en el Poblado, tres habitaciones, tres baños, sala comedor, estudio, estar de TV, cocina recién remodelada, zona de ropas, vista exterior, iluminación natural y dos parqueaderos. La unidad es de solo 16 apartamentos, cuenta con seguridad privada. No tiene ascensor..",2,2,,43 m²,0 m²,4,,,Otro,No definida,"$ 4.302.325,58*m²",Alejandría El Poblado - Medellín - Antioquia
"472-3485 Conaltura inmobiliaria ofrece apartamento en venta en Medellin sector aguacatala, cuenta con sala comedor, 3 alcobas, alcoba de servicio, 3 baños, 2 cabinados, 2 closets, vestier, balcon, zona de ropas, cocina integral, horno electrico, estufa electrica, calentador a gas, pisos en baldosa, 2 parqueaderos cubiertos, cuarto util. Ubicado en conjunto cerrado con 2 ascensores, porteria vigilancia 24h, cancha de futbol, juegos infantiles, piscina adultos, piscina niños, parqueadero de visitantes, se permiten mascotas, vista panoramica, zonas vedes, zona de fumadores, transporte publico cercano, sobre via principal. Cerca a la av poblado y estacion metro. 472-3485.",4,6,5,324 m²,324 m²,6,Bueno,16 a 30 años,,$ 950.000 COP,"$ 8.024.691,36*m²",aguacatala - Medellín - Antioquia
"Código interno 64191, Apto en Laureles de 223 mt2, $665000.000, edificio de 3 pisos, 5 alcobas, alcoba de servicio, 4 baños, sala, comedor, cocina integral, balcón, piso baldosa, garaje HABITAMOS SEDE LAURELES 4111333 OPC 1 WHATSAPP .",2,2,1,81 m²,81 m²,6,,1 a 8 años,,No definida,"$ 9.629.629,63*m²",Laureles - Medellín - Antioquia
"Se vende espectacular apartamento con un área de 68m2, distribuidos en 3 habitaciones, 2 closet, 2 baños, 1 estudio, 1 vestier, 1 balcón, zona de ropas, calentador a gas, cocina integral, cuarto útil y parqueadero. Cuenta con 2 piscinas adultos (1 climatizada) , 2 piscinas para niños (1 climatizada), turco, sauna, jacuzzi, salón de juegos bebes, salón de juegos niños, cancha deportiva, gimnasio, arenero, zona de mascotas, mirador, terraza, 2 lobby y juegos infantiles..",3,2,1,151 m²,151 m²,4,Bueno,16 a 30 años,2,No definida,"$ 3.112.582,78*m²",Calasanz - Medellín - Antioquia
"Apartamento en venta ubicado en el poblado-loma de los gonzalez 2 alcobas, 3 baños, parqueadero cubierto. la unidad cuenta con; ascensor, piscina, zonas verdes, juegos infantiles, salón social, parqueadero de visitantes y seguridad 24horas. La ubicación es ideal, fácil acceso a vías principales, centros comerciales y transporte público..",2,1,,43 m²,43 m²,3,Bueno,16 a 30 años,6,$ 75.000 COP,"$ 3.720.930,23*m²",Loma de los Gonzalez - Medellín - Antioquia
"Apartamento en San German Tierra Firme, zona de alta valorización, excelente ubicación, cerca a universidades, colegios, cerca al éxito y vías principales, con un Área de 70 mt2, Cuenta con 3 alcobas con closet, sala-comedor, 2 baños, cocina integral, balcón amplio, zona de ropas, parqueadero y útil, unidad cerrada con piscina, gimnasio, salón social, zona de juegos para niños, portería las 24 horas..",2,2,1,68 m²,68 m²,4,,1 a 8 años,13,$ 282.500 COP,"$ 4.705.882,35*m²",San Germán - Medellín - Antioquia
Vendo excelente apartamento con excelente ubicación a 2 cuadras de la estación Universidad del Metro 1 cuadra del Jardín botánico centros comerciales muy cerca hospitales y sitios de interés general Muy buena opción para inversionistas,3,2,1,58 m²,58 m²,5,,16 a 30 años,,$ 160.000 COP,"$ 4.741.379,31*m²",Sevilla - Medellín - Antioquia
